[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/utils/safestring.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/stripe/api_resources/__init__.py first seen with mtime 1700229339.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/stripe/api_resources/payment_link.py first seen with mtime 1700229339.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/PP5/checkout/signals.py first seen with mtime 1700065883.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/asyncio/streams.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/backends/base/base.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/models/utils.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/middleware/cache.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/typing.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/views/decorators/http.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/logging/config.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/stripe/api_resources/invoice.py first seen with mtime 1700229339.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.12.0/lib/python3.12/tempfile.py first seen with mtime 1697465126.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/http/request.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/core/management/__init__.py first seen with mtime 1699450980.0
[29/Nov/2023 16:39:00] DEBUG [django.utils.autoreload:379] File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/models/aggregates.py first seen with mtime 1699450980.0
